number,group
MATH-1311,0
MATH-1312,0
MATH-2321,0
MATH-3323,0
MATH-3326,0
MATH-3360,0
MATH-3362,0
MATH-2094,0
MATH-3194,0
MATH-3195,0
CSCI-1320,0
MATH-3320,1
MATH-3327,1
MATH-3328,1
MATH-333x,1
MATH-334x,1
MATH-335x,1
MATH-337x,1
MATH-338x,1
MATH-339x,1
MATH-41xx,1
MATH-42xx,1
MATH-430x,1
MATH-431x,1
MATH-432x,1
MATH-433x,1
MATH-434x,1
MATH-435x,1
MATH-436x,1
MATH-437x,1
MATH-438x,1
MATH-4390,1
MATH-4391,1
MATH-4394,2
MATH-4398,3
MATH-4399,3
